STORE_CODE,STORE_NAME,STORE_LINK,STORE_LOCATION,STORE_POSTAL_CODE,MARKET,STORE_CODE_NEW
163,Rouen,https://www.ikea.com/fr/fr/stores/rouen/,Tourville-la-Rivière,76410 ,FR,163
157,West Sacramento,https://www.ikea.com/us/en/stores/west-sacramento/,Sacramento CA,95605,US,157
431,Saint-Étienne,https://www.ikea.com/fr/fr/stores/saint-etienne/,Saint-Étienne,42000 ,FR,431
458,IKEA Salerno,https://www.ikea.com/it/it/stores/salerno-baronissi/,Baronissi ,84081,IT,458
103,Draper,https://www.ikea.com/us/en/stores/draper/,Salt Lake City UT,84020,US,103
166,San Diego,https://www.ikea.com/us/en/stores/san-diego/,San Diego ,92108,US,166
165,Emeryville,https://www.ikea.com/us/en/stores/emeryville/,San Francisco,94608,US,165
347,East Palo Alto,https://www.ikea.com/us/en/stores/east-palo-alto/,San Francisco,94303,US,347
250,Seattle,https://www.ikea.com/us/en/stores/renton/,Seattle,98057,US,250
283,Sevilla,https://www.ikea.com/es/es/stores/sevilla/,Castilleja de la Cuesta (Sevilla),41950,ES,283
519,IKEA Sheffield,https://www.ikea.com/gb/en/stores/sheffield/,Sheffield,S9 2YL,GB,519
369,IKEA Siegen,https://www.ikea.com/de/de/stores/siegen/,Siegen,57072,DE,369
224,Sindelfingen,https://www.ikea.com/de/de/stores/sindelfingen/,Sindelfingen,71063,DE,224
125,IKEA Southampton,https://www.ikea.com/gb/en/stores/southampton/,Southampton,SO15 1GY,GB,125
12,IKEA Kungens Kurva,https://www.ikea.com/se/sv/stores/stockholm-kungens-kurva/,Kungens Kurva,14175,SE,012
19,IKEA Barkarby,https://www.ikea.com/se/sv/stores/stockholm-barkarby/,Barkarby,17738,SE,019
239,Strasbourg,https://www.ikea.com/fr/fr/stores/strasbourg/,Strasbourg,67200 ,FR,239
467,IKEA Birsta,https://www.ikea.com/se/sv/stores/sundsvall/,Birsta,86341,SE,467
377,Marsden Park,https://www.ikea.com/au/en/stores/marsden-park/,Marsden Park,2765,AU,377
385,Rhodes,https://www.ikea.com/au/en/stores/rhodes/,Rhodes,2138,AU,385
446,Tempe,https://www.ikea.com/au/en/stores/tempe/,Tempe,2044,AU,446
227,Saarlouis,https://www.ikea.com/de/de/stores/saarlouis/,Saarlouis,66740,DE,227
42,Tampa,https://www.ikea.com/us/en/stores/tampa/,Tampa FL,33605,US,042
8,IKEA Tampere,https://www.ikea.com/fi/fi/stores/tampere/,Tampere,33840,FI,33840
456,IKEA Torino,https://www.ikea.com/it/it/stores/torino-collegno/,Collegno ,10093 ,IT,456
315,Toulon - La Valette-du-Var,https://www.ikea.com/fr/fr/stores/toulon/,Toulon - La Valette-du-Var,83160 ,FR,315
242,Toulouse - Roques,https://www.ikea.com/fr/fr/stores/toulouse/,Roques,31120 ,FR,242
434,Tours,https://www.ikea.com/fr/fr/stores/tours/,Tours,37000 ,FR,434
301,IKEA Raisio,https://www.ikea.com/fi/fi/stores/raisio/,Raisio,21280,FI,21280
53,IKEA Uddevalla,https://www.ikea.com/se/sv/stores/uddevalla/,Uddevalla,45176,SE,053
328,IKEA Ulm,https://www.ikea.com/de/de/stores/ulm/,Ulm,89077,DE,328
416,IKEA Umeå,https://www.ikea.com/se/sv/stores/umea/,Umeå,90422,SE,416
70,IKEA Uppsala,https://www.ikea.com/se/sv/stores/uppsala/,Uppsala,75323,SE,070
270,Utrecht,https://www.ikea.com/nl/nl/stores/utrecht/,Van Rensselaerlaan 7,3526 AP,NL,270
339,Valencia,https://www.ikea.com/es/es/stores/valencia-alfafar/,Alfafar (Valencia),46910,ES,339
30,Valladolid,https://www.ikea.com/es/es/stores/valladolid/,Arroyo de la Encomienda (Valladolid),47195,ES,030
422,IKEA Vantaa,https://www.ikea.com/fi/fi/stores/vantaa/,Vantaa,1200,FI,1200
285,Velizy,https://www.ikea.com/fr/fr/stores/velizy/,Vélizy-Villacoublay,78140 ,FR,285
240,Paris - Villiers,https://www.ikea.com/fr/fr/stores/paris-villiers/,Villiers-sur-Marne,94350 ,FR,240
20,IKEA Västerås,https://www.ikea.com/se/sv/stores/vasteras/,Västerås,72138,SE,020
322,Wallau,https://www.ikea.com/de/de/stores/wallau/,Wallau,65719,DE,322
75,Walldorf,https://www.ikea.com/de/de/stores/walldorf/,Walldorf,69190,DE,075
140,IKEA Warrington,https://www.ikea.com/gb/en/stores/warrington/,Warrington,WA5 7TY,GB,140
168,Woodbridge,https://www.ikea.com/us/en/stores/woodbridge/,Washington DC,22192,US,168
493,IKEA Wetzlar,https://www.ikea.com/de/de/stores/wetzlar/,Wetzlar,35576,DE,493
492,IKEA Wuppertal,https://www.ikea.com/de/de/stores/wuppertal/,Wuppertal,42279,DE,492
124,Würzburg,https://www.ikea.com/de/de/stores/wuerzburg/,Würzburg,97078,DE,124
497,Zaragoza,https://www.ikea.com/es/es/stores/zaragoza/,Zaragoza,50021,ES,497
391,Zwolle,https://www.ikea.com/nl/nl/stores/zwolle/,Diepholtstraat 3,8028 PN,NL,391
11,Älmhult,https://www.ikea.com/ext/local-store/se/sv/almhult/,Älmhult,34333,SE,011
268,IKEA Älmhult,https://www.ikea.com/se/sv/stores/almhult/,Älmhult,34333,SE,268
106,IKEA Marieberg,https://www.ikea.com/se/sv/stores/orebro/,Marieberg,70231,SE,106
432,Paris - Thiais,https://www.ikea.com/fr/fr/stores/paris-sud-thiais/,Thiais,94320 ,FR,432
